ID,Type,Depth,Sector,Branch,TIMESTAMP,Date,Input.volume,d18O.UoS,d2H.UoS,d18O.EPFL,d2H.EPFL
623,Soil Water,150,C,,2018-06-16 5:00,2018-06-16,,-9.12,-67.11,-9.48,-69.37
626,Leakage Flow,,,,2018-06-16 8:40,2018-06-16,,-8.32,-60.7,-8.78,-61.89
627,Leakage Flow,,,,2018-06-16 9:02,2018-06-16,,-8.38,-61.16,-8.72,-61.97
628,Leakage Flow,,,,2018-06-17 5:00,2018-06-17,,-7.13,-55.42,-7.45,-55.92
635,Soil,10,,,2018-06-18 13:30,2018-06-18,,-6.024,-52.03,NA,NA
636,Soil,25,,,2018-06-18 13:30,2018-06-18,,-8.15,-59.68,NA,NA
637,Soil,50,A,,2018-06-18 13:30,2018-06-18,,-8.586,-70.09,NA,NA
638,Soil,100,A,,2018-06-18 13:30,2018-06-18,,-9.172,-74.35,NA,NA
639,Soil,150,A,,2018-06-18 13:30,2018-06-18,,-6.256,-46.57,NA,NA
640,Soil,10,,,2018-06-18 13:30,2018-06-18,,-5.296,-53.44,NA,NA
641,Soil,25,,,2018-06-18 13:30,2018-06-18,,-7.12,-60.38,NA,NA
642,Soil,50,B,,2018-06-18 13:30,2018-06-18,,-9.075,-68.63,NA,NA
643,Soil,100,B,,2018-06-18 13:30,2018-06-18,,-10.868,-81.05,NA,NA
644,Soil,150,B,,2018-06-18 13:30,2018-06-18,,-10.153,-73.66,NA,NA
645,Xylem,,,SW,2018-06-18 13:00,2018-06-18,,-7.88,-69.97,NA,NA
648,Soil Water,10,A,,2018-06-18 12:00,2018-06-18,,-9.36,-74.23,NA,NA
649,Soil Water,10,B,,2018-06-18 12:00,2018-06-18,,NA,NA,NA,NA
650,Soil Water,10,C,,2018-06-18 12:00,2018-06-18,,-11.52,-84.55,-10.86,-84.52
651,Soil Water,25,A,,2018-06-18 12:00,2018-06-18,,-8.21,-59.45,-8.47,-61.67
652,Soil Water,25,B,,2018-06-18 12:00,2018-06-18,,-7.75,-61.98,NA,NA
653,Soil Water,25,C,,2018-06-18 12:00,2018-06-18,,-8.83,-74.85,NA,NA
654,Soil Water,50,A,,2018-06-18 12:00,2018-06-18,,-8.83,-67.13,-9.1,-69.24
655,Soil Water,50,B,,2018-06-18 12:00,2018-06-18,,NA,NA,NA,NA
656,Soil Water,50,C,,2018-06-18 12:00,2018-06-18,,-8.57,-63.08,-8.95,-64.59
657,Soil Water,100,A,,2018-06-18 12:00,2018-06-18,,-7.62,-58.04,-8.04,-58.72
658,Soil Water,100,C,,2018-06-18 12:00,2018-06-18,,-10.76,-77.01,-10.75,-79.04
659,Soil Water,150,A,,2018-06-18 12:00,2018-06-18,,-8.94,-64.75,-8.92,-66.2
660,Soil Water,150,B,,2018-06-18 12:00,2018-06-18,,-8.12,-51.95,-8.06,-53.5
661,Soil Water,150,C,,2018-06-18 12:00,2018-06-18,,-9.22,-66.33,-9.27,-67.86
670,Soil Water,10,A,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
671,Soil Water,10,B,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
672,Soil Water,10,C,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
673,Soil Water,25,A,,2018-06-20 12:00,2018-06-20,,-7.48,-57.3,NA,NA
674,Soil Water,25,B,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
675,Soil Water,25,C,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
676,Soil Water,50,A,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
677,Soil Water,50,B,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
678,Soil Water,50,C,,2018-06-20 12:00,2018-06-20,,NA,NA,NA,NA
679,Soil Water,100,A,,2018-06-20 12:00,2018-06-20,,-7.9,-56.64,-7.81,-57.2
680,Soil Water,100,C,,2018-06-20 12:00,2018-06-20,,-10.36,-75.6,-10.48,-76.94
681,Soil Water,150,A,,2018-06-20 12:00,2018-06-20,,-8.59,-63.31,-8.73,-64.54
682,Soil Water,150,B,,2018-06-20 12:00,2018-06-20,,-7.86,-52.62,-7.97,-53.34
683,Soil Water,150,C,,2018-06-20 12:00,2018-06-20,,-8.61,-64.09,-8.86,-65.34
686,Xylem,,,SW,2018-06-21 13:00,2018-06-21,,-7.67,-68.27,NA,NA
690,Xylem,,,SW,2018-06-21 21:20,2018-06-21,,-8.11,-68.07,NA,NA
693,Xylem,,,N,2018-06-22 4:15,2018-06-22,,-7.9,-68.15,NA,NA
696,Xylem,,,SE ,2018-06-22 9:05,2018-06-22,,-7.88,-66.51,NA,NA
699,Soil,10,,,2018-06-22 13:30,2018-06-22,,-2.836,-42.4,NA,NA
700,Soil,25,,,2018-06-22 13:30,2018-06-22,,-5.47,-49.74,NA,NA
701,Soil,50,A,,2018-06-22 13:30,2018-06-22,,-9.08,-72.01,NA,NA
702,Soil,100,A,,2018-06-22 13:30,2018-06-22,,-8.822,-72.65,NA,NA
703,Soil,150,A,,2018-06-22 13:30,2018-06-22,,-5.171,-35.89,NA,NA
704,Soil,10,,,2018-06-22 13:30,2018-06-22,,-3.186,-47.7,NA,NA
705,Soil,25,,,2018-06-22 13:30,2018-06-22,,-6.537,-58.69,NA,NA
706,Soil,50,B,,2018-06-22 13:30,2018-06-22,,-9.114,-72.6,NA,NA
707,Soil,100,B,,2018-06-22 13:30,2018-06-22,,-9.745,-77.78,NA,NA
708,Soil,150,B,,2018-06-22 13:30,2018-06-22,,-9.952,-77.97,NA,NA
709,Xylem,,,NA,2018-06-22 13:00,2018-06-22,,-7.64,-65.52,NA,NA
712,Soil Water,10,A,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
713,Soil Water,10,B,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
714,Soil Water,10,C,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
715,Soil Water,25,A,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
716,Soil Water,25,B,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
717,Soil Water,25,C,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
718,Soil Water,50,A,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
719,Soil Water,50,B,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
720,Soil Water,50,C,,2018-06-22 12:00,2018-06-22,,NA,NA,NA,NA
721,Soil Water,100,A,,2018-06-22 12:00,2018-06-22,,-6.06,-49.18,NA,NA
722,Soil Water,100,C,,2018-06-22 12:00,2018-06-22,,-9.64,-71.13,NA,NA
723,Soil Water,150,A,,2018-06-22 12:00,2018-06-22,,-7.78,-58.34,NA,NA
724,Soil Water,150,B,,2018-06-22 12:00,2018-06-22,,-7.54,-51.28,NA,NA
725,Soil Water,150,C,,2018-06-22 12:00,2018-06-22,,-8.07,-59.9,NA,NA
733,Xylem,,,SW,2018-06-22 21:20,2018-06-22,,-8.3,-66.69,NA,NA
736,Tap Water,,,,2018-06-23 3:00,2018-06-23,54.5,-12.1,-87.93,-12.2,-89.99
737,Xylem,,,SW,2018-06-23 4:05,2018-06-23,,-8.06,-70.65,NA,NA
740,Xylem,,,SW,2018-06-23 9:10,2018-06-23,,-8.19,-69.48,NA,NA
743,Xylem,,,SW,2018-06-23 13:10,2018-06-23,,-8.52,-72.55,NA,NA
746,Xylem,,,N,2018-06-23 21:17,2018-06-23,,-8.33,-72.5,NA,NA
749,Tap Water,,,,2018-06-24 1:00,2018-06-24,87,-12.02,-87.83,-12.28,-90.13
750,Xylem,,,N,2018-06-24 9:35,2018-06-24,,-7.75,-71.97,NA,NA
753,Soil Water,10,A,,2018-06-24 9:00,2018-06-24,,-11.2,-84.17,-11.48,-86.48
754,Soil Water,10,B,,2018-06-24 9:00,2018-06-24,,-11.2,-82.72,-11.49,-85.46
755,Soil Water,10,C,,2018-06-24 9:00,2018-06-24,,-11.79,-86.5,-12.15,-89.78
756,Soil Water,25,A,,2018-06-24 9:00,2018-06-24,,-11.41,-82.55,-11.72,-86.65
757,Soil Water,25,B,,2018-06-24 9:00,2018-06-24,,-11.14,-81.93,-11.33,-84.22
758,Soil Water,25,C,,2018-06-24 9:00,2018-06-24,,-9.11,-65.29,-9.35,-67.27
759,Soil Water,50,A,,2018-06-24 9:00,2018-06-24,,-10.33,-76.94,-10.72,-78.83
760,Soil Water,50,B,,2018-06-24 9:00,2018-06-24,,-10.2,-75.42,-10.6,-77.74
761,Soil Water,50,C,,2018-06-24 9:00,2018-06-24,,-11.63,-86.07,-11.93,-88.42
762,Soil Water,100,A,,2018-06-24 9:00,2018-06-24,,-8.9,-63.42,-9.16,-65.24
763,Soil Water,100,C,,2018-06-24 9:00,2018-06-24,,-11.18,-81.42,-11.36,-83.71
764,Soil Water,150,A,,2018-06-24 9:00,2018-06-24,,-8.56,-60.41,-8.62,-62.35
765,Soil Water,150,B,,2018-06-24 9:00,2018-06-24,,-9.47,-66.46,-9.63,-68.03
766,Soil Water,150,C,,2018-06-24 9:00,2018-06-24,,-10.2,-76.27,-10.5,-77.03
768,Xylem,,,N,2018-06-24 13:15,2018-06-24,,-9.03,-75.79,NA,NA
771,Xylem,,,SW,2018-06-24 21:32,2018-06-24,,-8.12,-73.66,NA,NA
774,Tap Water,,,,2018-06-24 23:45,2018-06-24,52,-11.89,-87.65,-12.3,-90.26
775,Leakage Flow,,,,2018-06-25 7:49,2018-06-25,,-8.63,-62.31,-8.91,-62.65
782,Xylem,,,SW,2018-06-25 13:05,2018-06-25,,-9.3,-77.52,NA,NA
802,Leakage Flow,,,,2018-06-25 13:50,2018-06-25,,-8.85,-62.52,-8.96,-64.12
803,Leakage Flow,,,,2018-06-25 19:52,2018-06-25,,-8.97,-60.98,-8.88,-63.91
785,Xylem,,,SW,2018-06-26 6:45,2018-06-26,,-8.81,-76.88,NA,NA
788,Xylem,,,N ,2018-06-26 13:15,2018-06-26,,-9.55,-77.9,NA,NA
792,Soil,10,,,2018-06-26 13:30,2018-06-26,,-3.069,-46.3,NA,NA
793,Soil,25,,,2018-06-26 13:30,2018-06-26,,-8.836,-72.16,NA,NA
794,Soil,50,A,,2018-06-26 13:30,2018-06-26,,-10.895,-83.5,NA,NA
795,Soil,100,A,,2018-06-26 13:30,2018-06-26,,-11.099,-85.83,NA,NA
796,Soil,150,A,,2018-06-26 13:30,2018-06-26,,-9.147,-66.58,NA,NA
797,Soil,10,,,2018-06-26 13:30,2018-06-26,,-11.474,-88.97,NA,NA
798,Soil,25,,,2018-06-26 13:30,2018-06-26,,-11.241,-87.95,NA,NA
799,Soil,50,B,,2018-06-26 13:30,2018-06-26,,-11.267,-87.52,NA,NA
800,Soil,100,B,,2018-06-26 13:30,2018-06-26,,-10.952,-84.93,NA,NA
801,Soil,150,B,,2018-06-26 13:30,2018-06-26,,-11.693,-87.26,NA,NA
804,Leakage Flow,,,,2018-06-26 1:53,2018-06-26,,-8.81,-63.11,-9.04,-64.87
805,Leakage Flow,,,,2018-06-26 7:56,2018-06-26,,-8.97,-64.97,-9.19,-65.93
806,Leakage Flow,,,,2018-06-26 13:20,2018-06-26,,-9.18,-65.42,-9.19,-66.08
807,Soil Water,10,A,,2018-06-26 13:00,2018-06-26,,-11.28,-85.56,-11.45,-86.79
808,Soil Water,10,B,,2018-06-26 13:00,2018-06-26,,-11.87,-85.69,-12.06,-88.86
809,Soil Water,10,C,,2018-06-26 13:00,2018-06-26,,-11.87,-86.54,-12.15,-89.78
810,Soil Water,25,A,,2018-06-26 13:00,2018-06-26,,-11.71,-86.19,-12.06,-89.12
811,Soil Water,25,B,,2018-06-26 13:00,2018-06-26,,-11.31,-83.82,-11.77,-87.48
812,Soil Water,25,C,,2018-06-26 13:00,2018-06-26,,-11.73,-84.43,-12.06,-88.89
813,Soil Water,50,A,,2018-06-26 13:00,2018-06-26,,-11.04,-80.78,-11.42,-84.81
814,Soil Water,50,B,,2018-06-26 13:00,2018-06-26,,-10.9,-74.48,-10.89,-80.23
815,Soil Water,50,C,,2018-06-26 13:00,2018-06-26,,-11.49,-80.75,-11.76,-87.27
816,Soil Water,100,A,,2018-06-26 13:00,2018-06-26,,-8.9,-64.21,-9.31,-67.57
817,Soil Water,100,C,,2018-06-26 13:00,2018-06-26,,-11.56,-85.55,-11.99,-88.33
818,Soil Water,150,A,,2018-06-26 13:00,2018-06-26,,-8.08,-55.26,-8.43,-57.52
819,Soil Water,150,B,,2018-06-26 13:00,2018-06-26,,-9.48,-68.39,-9.87,-70.65
820,Soil Water,150,C,,2018-06-26 13:00,2018-06-26,,-10.7,-77.48,-11.11,-81.31
828,Leakage Flow,,,,2018-06-27 1:15,2018-06-27,,-8.95,-63.13,-9.1,-66.04
830,Leakage Flow,,,,2018-06-28 4:45,2018-06-28,,-8.31,-59.4,-8.65,-63.89
832,Soil,10,,,2018-06-29 8:00,2018-06-29,,-9.083,-83.2,NA,NA
833,Soil,25,,,2018-06-29 8:00,2018-06-29,,-11.664,-89.7,NA,NA
834,Soil,50,A,,2018-06-29 8:00,2018-06-29,,-11.189,-85.25,NA,NA
835,Soil,100,A,,2018-06-29 8:00,2018-06-29,,-11.57,-87.89,NA,NA
836,Soil,150,A,,2018-06-29 8:00,2018-06-29,,-9.889,-75.97,NA,NA
837,Soil,10,,,2018-06-29 8:00,2018-06-29,,-10.12,-87.14,NA,NA
838,Soil,25,,,2018-06-29 8:00,2018-06-29,,-11.247,-87.79,NA,NA
839,Soil,50,B,,2018-06-29 8:00,2018-06-29,,-11.517,-90.43,NA,NA
840,Soil,100,B,,2018-06-29 8:00,2018-06-29,,-11.452,-88.12,NA,NA
841,Soil,150,B,,2018-06-29 8:00,2018-06-29,,-11.264,-86.37,NA,NA
842,Saturated filter,,,,2018-06-29 8:30,2018-06-29,,-9.51,-68.3,-9.72,-69.91
843,Saturated filter,,,,2018-06-29 8:30,2018-06-29,,-9.57,-67.78,-9.78,-70.23
844,Soil profile 1,10,,,2018-06-29 15:00,2018-06-29,,-9.4335,-84.225,NA,NA
845,Soil profile 1,20,,,2018-06-29 15:00,2018-06-29,,-11.639,-90.17,NA,NA
846,Soil profile 1,30,,,2018-06-29 15:00,2018-06-29,,-10.933,-87.91,NA,NA
847,Soil profile 1,40,,,2018-06-29 15:00,2018-06-29,,-11.214,-88.73,NA,NA
848,Soil profile 1,50,,,2018-06-29 15:00,2018-06-29,,-11.723,-90.75,NA,NA
849,Soil profile 1,60,,,2018-06-29 15:00,2018-06-29,,-11.354,-88.58,NA,NA
850,Soil profile 1,70,,,2018-06-29 15:00,2018-06-29,,-10.845,-85.9,NA,NA
851,Soil profile 1,80,,,2018-06-29 15:00,2018-06-29,,-11.3,-87.46,NA,NA
852,Soil profile 1,90,,,2018-06-29 15:00,2018-06-29,,-11.322,-86.88,NA,NA
853,Soil profile 1,100,,,2018-06-29 15:00,2018-06-29,,-10.942,-84.57,NA,NA
854,Soil profile 1,110,,,2018-06-29 15:00,2018-06-29,,-11.202,-85.47,NA,NA
855,Soil profile 1,120,,,2018-06-29 15:00,2018-06-29,,-10.841,-83.93,NA,NA
856,Soil profile 1,130,,,2018-06-29 15:00,2018-06-29,,-10.249,-80.01,NA,NA
857,Soil profile 1,140,,,2018-06-29 15:00,2018-06-29,,-10.331,-77.56,NA,NA
858,Soil profile 1,150,,,2018-06-29 15:00,2018-06-29,,-9.755,-73.51,NA,NA
859,Soil profile 1,160,,,2018-06-29 15:00,2018-06-29,,-8.935,-70.43,NA,NA
860,Soil profile 1,170,,,2018-06-29 15:00,2018-06-29,,-8.414,-64.69,NA,NA
861,Soil profile 1,180,,,2018-06-29 15:00,2018-06-29,,-8.212,-60.13,NA,NA
862,Soil profile 1,190,,,2018-06-29 15:00,2018-06-29,,-8.205,-60.45,NA,NA
863,Soil profile 1,200,,,2018-06-29 15:00,2018-06-29,,-8.127,-60.82,NA,NA
864,Soil profile 2,10,,,2018-06-29 16:00,2018-06-29,,-8.008,-73.97,NA,NA
865,Soil profile 2,20,,,2018-06-29 16:00,2018-06-29,,-9.752,-81.11,NA,NA
866,Soil profile 2,30,,,2018-06-29 16:00,2018-06-29,,-10.28,-84.62,NA,NA
867,Soil profile 2,40,,,2018-06-29 16:00,2018-06-29,,-10.075,-83.4,NA,NA
868,Soil profile 2,50,,,2018-06-29 16:00,2018-06-29,,-10.092,-82.01,NA,NA
869,Soil profile 2,60,,,2018-06-29 16:00,2018-06-29,,-10.084,-80.26,NA,NA
870,Soil profile 2,70,,,2018-06-29 16:00,2018-06-29,,-9.713,-76.11,NA,NA
871,Soil profile 2,80,,,2018-06-29 16:00,2018-06-29,,-9.995,-77.79,NA,NA
872,Soil profile 2,90,,,2018-06-29 16:00,2018-06-29,,-9.518,-75.21,NA,NA
873,Soil profile 2,100,,,2018-06-29 16:00,2018-06-29,,-9.164,-74.41,NA,NA
874,Soil profile 2,110,,,2018-06-29 16:00,2018-06-29,,-9.168,-73.1,NA,NA
875,Soil profile 2,120,,,2018-06-29 16:00,2018-06-29,,-9.198,-75.04,NA,NA
876,Soil profile 2,130,,,2018-06-29 16:00,2018-06-29,,-9.275,-75.22,NA,NA
877,Soil profile 2,140,,,2018-06-29 16:00,2018-06-29,,-9.518,-77.72,NA,NA
878,Soil profile 2,150,,,2018-06-29 16:00,2018-06-29,,-9.726,-76.61,NA,NA
879,Soil profile 2,160,,,2018-06-29 16:00,2018-06-29,,-9.752,-76.14,NA,NA
880,Soil profile 2,170,,,2018-06-29 16:00,2018-06-29,,-9.64,-73.83,NA,NA
881,Soil profile 2,180,,,2018-06-29 16:00,2018-06-29,,-9.82,-72.08,NA,NA
882,Soil profile 2,190,,,2018-06-29 16:00,2018-06-29,,-9.808,-71.18,NA,NA
883,Soil profile 2,200,,,2018-06-29 16:00,2018-06-29,,-9.372,-70.05,NA,NA
884,Soil profile 3,10,,,2018-06-29 16:30,2018-06-29,,-9.244,-81.52,NA,NA
885,Soil profile 3,20,,,2018-06-29 16:30,2018-06-29,,-11.014,-87.58,NA,NA
886,Soil profile 3,30,,,2018-06-29 16:30,2018-06-29,,-11.243,-89.26,NA,NA
887,Soil profile 3,40,,,2018-06-29 16:30,2018-06-29,,-11.617,-90.66,NA,NA
888,Soil profile 3,50,,,2018-06-29 16:30,2018-06-29,,-10.608,-87.17,NA,NA
889,Soil profile 3,60,,,2018-06-29 16:30,2018-06-29,,-11.342,-88.64,NA,NA
890,Soil profile 3,70,,,2018-06-29 16:30,2018-06-29,,-11.427,-89.44,NA,NA
891,Soil profile 3,80,,,2018-06-29 16:30,2018-06-29,,-11.177,-88.35,NA,NA
892,Soil profile 3,90,,,2018-06-29 16:30,2018-06-29,,-11.687,-90.26,NA,NA
893,Soil profile 3,100,,,2018-06-29 16:30,2018-06-29,,-11.296,-88.3,NA,NA
894,Soil profile 3,110,,,2018-06-29 16:30,2018-06-29,,-11.42,-88.8,NA,NA
895,Soil profile 3,120,,,2018-06-29 16:30,2018-06-29,,-11.219,-87.95,NA,NA
896,Soil profile 3,130,,,2018-06-29 16:30,2018-06-29,,-11.224,-87.92,NA,NA
897,Soil profile 3,140,,,2018-06-29 16:30,2018-06-29,,-11.278,-86.95,NA,NA
898,Soil profile 3,150,,,2018-06-29 16:30,2018-06-29,,-11.308,-87.56,NA,NA
899,Soil profile 3,160,,,2018-06-29 16:30,2018-06-29,,-11.046,-85.9,NA,NA
900,Soil profile 3,170,,,2018-06-29 16:30,2018-06-29,,-11.213,-87.16,NA,NA
901,Soil profile 3,180,,,2018-06-29 16:30,2018-06-29,,-10.947,-84.78,NA,NA
902,Soil profile 3,190,,,2018-06-29 16:30,2018-06-29,,-10.432,-82.23,NA,NA
903,Soil profile 3,200,,,2018-06-29 16:30,2018-06-29,,-10.8,-83.56,NA,NA
904,Soil Water,10,A,,2018-06-29 5:00,2018-06-29,,-10.66,-83.1,NA,NA
905,Soil Water,10,B,,2018-06-29 5:00,2018-06-29,,-10.42,-80.71,NA,NA
906,Soil Water,10,C,,2018-06-29 5:00,2018-06-29,,-11.55,-86.15,NA,NA
907,Soil Water,25,A,,2018-06-29 5:00,2018-06-29,,-11.54,-85.13,-11.85,-88.08
908,Soil Water,25,B,,2018-06-29 5:00,2018-06-29,,-10.98,-81.8,NA,NA
909,Soil Water,25,C,,2018-06-29 5:00,2018-06-29,,-11.37,-85.34,NA,NA
910,Soil Water,50,A,,2018-06-29 5:00,2018-06-29,,-10.53,-79.46,-10.94,-82.43
911,Soil Water,50,B,,2018-06-29 5:00,2018-06-29,,-10.12,-75.82,-10.53,-78.63
912,Soil Water,50,C,,2018-06-29 5:00,2018-06-29,,-10.9,-82.47,-11.31,-85.09
913,Soil Water,100,A,,2018-06-29 5:00,2018-06-29,,-8.5,-63.82,-8.78,-64.64
914,Soil Water,100,C,,2018-06-29 5:00,2018-06-29,,-11.58,-83.88,-11.84,-88.03
915,Soil Water,150,A,,2018-06-29 5:00,2018-06-29,,-7.9,-55.69,-8.2,-56.11
916,Soil Water,150,B,,2018-06-29 5:00,2018-06-29,,-9.09,-64.66,-9.6,-70.09
917,Soil Water,150,C,,2018-06-29 5:00,2018-06-29,,-10.56,-78.9,-10.9,-81.02
926,Xylem Main Stem - Top,,,N,2018-06-29 14:00,2018-06-29,,-9.54,-77.84,NA,NA
927,Xylem Main Stem - Top,,,N,2018-06-29 14:00,2018-06-29,,-8.77,-77.28,NA,NA
929,Xylem Main Stem - Base,,,N,2018-06-29 14:00,2018-06-29,,-9.26,-78.5,NA,NA
930,Xylem Main Stem - Base,,,N,2018-06-29 14:00,2018-06-29,,-9.11,-79.01,NA,NA
932,Xylem Main Stem - Top,,,SW,2018-06-29 14:00,2018-06-29,,-8.97,-75.47,NA,NA
933,Xylem Main Stem - Top,,,SW,2018-06-29 14:00,2018-06-29,,-9.03,-76.03,NA,NA
935,Xylem Main Stem - Base,,,SW,2018-06-29 14:00,2018-06-29,,-9.79,-81.52,NA,NA
936,Xylem Main Stem - Base,,,SW,2018-06-29 14:00,2018-06-29,,-9.69,-78.82,NA,NA
938,Xylem Main Stem - Top,,,SE ,2018-06-29 14:00,2018-06-29,,-9.41,-77.77,NA,NA
939,Xylem Main Stem - Top,,,SE ,2018-06-29 14:00,2018-06-29,,-9.05,-76.21,NA,NA
941,Xylem Main Stem - Base,,,SE ,2018-06-29 14:00,2018-06-29,,-8.57,-74.98,NA,NA
942,Xylem Main Stem - Base,,,SE ,2018-06-29 14:00,2018-06-29,,-8.54,-75.38,NA,NA
944,Xylem - 2nd order,,,SW,2018-06-29 14:00,2018-06-29,,-9.17,-78.84,NA,NA
946,Xylem - 2nd order,,,SW,2018-06-29 14:00,2018-06-29,,-8.43,-74.4,NA,NA
948,Xylem - 2nd order,,,SE ,2018-06-29 14:00,2018-06-29,,-9.28,-78.78,NA,NA
950,Xylem - 2nd order,,,SW,2018-06-29 14:00,2018-06-29,,-9.13,-78.02,NA,NA
952,Xylem - Prior destructive sampling,,,N,2018-06-29 8:30,2018-06-29,,-9.12,-79.06,NA,NA
955,Xylem - 4th order,,,N,2018-06-29 14:00,2018-06-29,,-9.19,-79.27,NA,NA
